Name,Style,Family style,Brewery,Alc,IBU,Rating
Fender-Bender,IPA - Imperial / Double New England / Hazy,IPA ,Salikatt,8,,4.27
Ferskva,Fruit Beer,Fruit ,OY Brewing,5.6,10,3.42
Fields of Tall Grass,IPA - Imperial / Double,IPA ,Finback Brewery,8,,4.23
File Transfer Protocol,IPA - New Zealand,IPA ,Halfway Crooks Beer,7,,3.84
Final Form: Optimization (Tawny Port/VSOP Cognac),Barleywine - English,Barleywine ,Moksa Brewing Co,14.7,,4.38
Fire  Skulls & Money,IPA - Imperial / Double New England / Hazy,IPA ,Toppling Goliath Brewing Co.,7.8,50,4.21
First Step,IPA - New England / Hazy,IPA ,Stepping Stone Brewing Company,5.8,,3.77
Flaami Öö (Cellar Series),Strong Ale - Other,Strong Ale ,Põhjala,12,35,4.01
Flames in a Box,IPA - New England / Hazy,IPA ,FrauGruber Brewing,6.5,,3.88
Flassan,Farmhouse Ale - Saison,Farmhouse ,Brasserie de la Sambre,7.8,25,4.18
Flintegata 3.0,Pale Ale - New England / Hazy,Pale ,Salikatt,4.7,,3.81
FloMO Pils,Pilsner - Czech / Bohemian,Pilsner ,Narrow Gauge Brewing Company,5.6,35,3.8
Florida Seltzer Navel Orange Yuzu,Hard Seltzer,Hard Seltzer,Untitled Art,5,,3.95
Flos Alba // Albicocche,Sour - Fruited Berliner Weisse,Sour ,Klanbarrique,5.7,,3.74
FOCOCO (2022),Stout - Imperial / Double,Stout ,Bottle Logic Brewing,13,30,4.45
Fogram,Sour - Fruited,Sour ,Sour Cellars,7.5,,3.79
Forever Yours,Lager - IPL (India Pale Lager),Lager ,Too Old To Die Young Brewing Co.,6,45,3.59
Fostering Divine Culture,Stout - Imperial / Double Pastry,Stout ,Resident Culture Brewing Co.,13,,4.29
Framboos / Kers / Braam 21/08,Lambic - Fruit,Lambic ,Symbiose Brewing / Blending,6.5,,4.29
Fraugruberlicious (Strawberry/Pineapple),Sour - Fruited,Sour ,FrauGruber Brewing,5.8,,3.71
Friendly,Sour - Fruited Berliner Weisse,Sour ,Stepping Stone Brewing Company,6,,3.76
From Canada With Love (2019),Lambic - Gueuze,Lambic ,Bofkont,6,,4.06
From One Dog To Another (2021),Lambic - Fruit,Lambic ,Bofkont,6,,4.22
From the Vault (2022),Stout - Imperial / Double,Stout ,Fremont Brewing,13.5,50,4.27
Frost Giant,Stout - Imperial / Double,Stout ,FrauGruber Brewing,14.3,,3.71
FULL THROTTLE,IPA - New England / Hazy,IPA ,Flying Couch Brewing,6.7,6,3.66
Fun-Fossil Fool (2022),Mead - Melomel,Mead ,Marlobobo,10,,4.43
Funky Rich Lupulins V4.0,IPA - Brett,IPA ,Carbon Brews,8,20,3.62
Gaffel Kölsch,Kölsch,Kolsch,Privatbrauerei Gaffel Becker,4.8,20,3.35
Gaffel Wiess,Kölsch,Kolsch,Privatbrauerei Gaffel Becker,4.9,11,3.39
Gelato: Blue Velvet,Sour - Smoothie / Pastry,Sour ,Funky Fluid,5.8,,4.16
Geléhallon Smoojee,Sour - Smoothie / Pastry,Sour ,Friends Company,4.7,,3.76
Geo,Pilsner - Other,Pilsner ,Phase Three Brewing,5.5,,3.87
Ghost Coast,IPA - American,IPA ,Ruse Brewing,7.2,,3.91
Gin BA Bumfuzzle (2022),Mead - Melomel,Mead ,Marlobobo,10,,4.44
Glen Fyne Select (2022),Mead - Melomel,Mead ,Marlobobo,14,,4.54
Glu Glu,Kölsch,Kolsch,Birra MC - 77,5,,3.67
Goed Cold Bier,Pilsner - Other,Pilsner ,Creature Comforts Brewing Co.,5.1,,3.68
Golden Pilsner,Pilsner - Czech / Bohemian,Pilsner ,Fremont Brewing,4.5,20,3.65
Good In the Woods,IPA - American,IPA ,Outer Range Brewing Co.,7.1,,3.94
Good Morning Captain,IPA - Imperial / Double,IPA ,Pomona Island Brew Co.,8.5,,4.18
Gose,Sour - Traditional Gose,Sour ,Fremont Brewing,4,,3.79
Gravenstein (Ice Ice Baby),Cider - Ice / Applewine,Cider ,Pomologik,7,,3.81
Grim Reefer,IPA - Triple New England / Hazy,IPA ,DankHouse Brewing Company,10,,4.09
